0	405	335	137	315	339	166	667	342	215	153	501	252	118	1
405	0	468	285	114	357	409	605	257	267	300	160	286	449	403
335	468	0	271	467	560	513	382	243	437	262	511	475	219	335
137	285	271	0	198	290	260	592	205	165	15	363	202	170	136
315	114	467	198	0	243	296	709	323	154	212	267	172	361	315
339	357	560	290	243	0	226	858	471	126	304	510	89	457	310
166	409	513	260	296	226	0	829	454	149	272	562	137	296	140
667	605	382	592	709	858	829	0	372	714	552	561	752	601	639
342	257	243	205	323	471	454	372	0	343	181	272	380	297	308
215	267	437	165	154	126	149	714	343	0	197	420	38	342	192
153	300	262	15	212	304	272	552	181	197	0	378	217	158	152
501	160	511	363	267	510	562	561	272	420	378	0	438	533	462
252	286	475	202	172	89	137	752	380	38	217	438	0	380	224
118	449	219	170	361	457	296	601	297	342	158	533	380	0	112
1	403	335	136	315	310	140	639	308	192	152	462	224	112	0
